ASIN,BBR,offer_changed_notification_id
B0000U11LW,0.16395742999096657,227613045.0
B0000V0L9Y,0.4851047366271948,227600819.0
B0000VVB4S,0.0,227525593.0
B00012TL2A,0.03397129105322763,227608718.0
B000165EPO,0.33972972602739726,227579062.0
B00016BI5O,0.08341594867094408,227071616.0
B00018HQAI,0.0,227614333.0
B0001AUF8G,0.0,227603346.0
B0001LQW8C,0.0,227601519.0
B0001P4PSC,0.0,227572443.0
B0001XGP32,0.006339778129952457,227595946.0
B0001XO674,0.001803243243243243,227599755.0
B0001YC3BE,0.02579073856975381,227611903.0
B00020XPEG,0.3418048284625159,227538679.0
B000227NK6,0.020926503923278116,226821755.0
B00022OBO2,0.0,227579036.0
B00022OBOC,0.0,227579182.0
B00022OBOM,0.07939731759656653,227614993.0
B000230LC2,0.0,227599211.0
B000230LCW,0.0,227579263.0
B000230LJK,0.013530873308733085,227602244.0
B000230LLS,0.10652020658489347,227600643.0
B000234IT4,0.07906188658669576,227074629.0
B000234ITO,0.2343467484662577,227602149.0
B00023BHRA,0.0,227610629.0
B00025686I,0.08685438311688311,227572678.0
B00026BMBI,0.14321306889352817,227579137.0
B00026Z3E0,0.002915836774350255,227562066.0
B00028G2F2,0.03992021632251721,227513950.0
B00028X2Y6,0.17195649484536082,227586715.0
B0002CO9NA,0.001008678102926337,227613192.0
B0002D0JX8,0.0,227587440.0
B0002DH8JG,0.16144190715181933,227204539.0
B0002DHBQQ,0.42018463855421684,227613010.0
B0002DVBRQ,0.9037836756756757,227426608.0
B0002F5544,0.0,227610391.0
B0002H335A,0.05444494474007367,227598234.0
B0002IXIHM,0.5905850277264325,227615127.0
B0002IXIJ0,0.6169421949920084,227608934.0
B0002IXIPO,0.0,227614564.0
B0002IXJ1M,0.0,227608585.0
B0002JAZJK,0.9267145114942529,227610075.0
B0002KHDLW,0.001465544167886774,227611968.0
B0002MABL4,0.015777665941240478,227581447.0
B0002NNWDW,0.005175335162681301,227604094.0
B0002NRTL8,0.8690206865401987,227595216.0
B0002OOMRG,0.0,227539687.0
B0002PZUEO,0.9370669326241136,227562767.0
B0002UPGOI,0.37177988165680476,227596424.0
B0002VMV2M,0.08934384796238246,227326987.0
B0002VMVMW,0.008034910714285713,227566066.0
B0002ZHBAA,0.13845965811965813,227614790.0
B000357GDG,0.3051588303416329,227614554.0
B000357GJK,0.004944004944375772,227424463.0
B0003I68RS,0.0,227614885.0
B00042KGWG,0.0,227611460.0
B00062KQ42,0.0007523648648648649,227570134.0
B00062NELE,0.8067435657463734,227612700.0
B00065XS3U,0.7099870056497175,227477114.0
B00068U9Y8,0.08670552344251765,227611480.0
B0006H938M,0.011445781556572925,227594046.0
B0006KSMEA,0.02803551401869159,227599164.0
B0006KSNH6,0.1822374715261959,227600749.0
B0006L2QEQ,0.0,227614411.0
B0006MY7E2,0.5468214107365793,227613414.0
B0006MY7FG,0.08706766169154229,227608773.0
B0006MY7FQ,0.04213558052434457,227565524.0
B0006MY7GK,0.0,227614794.0
B0006N8WYM,0.18319209770114941,227607700.0
B0006N8YQS,0.8173354489164086,227611981.0
B0006NI3TQ,0.3999997520661157,227578421.0
B0006SH4GE,0.14180730919990775,227589805.0
B0006SH4KU,0.022088304093567254,227316111.0
B0006SH4NC,0.03532545162585307,227598967.0
B0006TW7P6,0.0,227601097.0
